 INFO  Accepting connections at http://localhost:3000
 HTTP  10.05.2026 22:35:40 ::1 GET /app.js
 HTTP  10.05.2026 22:35:40 ::1 GET /account.js
 HTTP  10.05.2026 22:35:40 ::1 Returned 200 in 3 ms
 HTTP  10.05.2026 22:35:40 ::1 Returned 200 in 4 ms
 HTTP  10.05.2026 22:35:43 ::1 GET /
 HTTP  10.05.2026 22:35:43 ::1 Returned 200 in 1 ms
 HTTP  10.05.2026 22:35:43 ::1 GET /index.css
 HTTP  10.05.2026 22:35:43 ::1 Returned 200 in 1 ms
 HTTP  10.05.2026 22:35:44 ::1 GET /
 HTTP  10.05.2026 22:35:44 ::1 Returned 200 in 1 ms
 HTTP  10.05.2026 22:35:44 ::1 GET /index.css
 HTTP  10.05.2026 22:35:44 ::1 Returned 200 in 2 ms
 HTTP  10.05.2026 22:39:44 ::1 GET /
 HTTP  10.05.2026 22:39:44 ::1 Returned 200 in 2 ms
 HTTP  10.05.2026 22:39:44 ::1 GET /index.css
 HTTP  10.05.2026 22:39:44 ::1 Returned 200 in 1 ms
 HTTP  10.05.2026 22:41:27 ::1 GET /
 HTTP  10.05.2026 22:41:27 ::1 Returned 200 in 1 ms
 HTTP  10.05.2026 22:41:27 ::1 GET /index.css
 HTTP  10.05.2026 22:41:27 ::1 Returned 200 in 1 ms
 HTTP  10.05.2026 23:36:13 ::1 GET /
 HTTP  10.05.2026 23:36:13 ::1 Returned 200 in 7 ms
 HTTP  10.05.2026 23:36:23 ::1 GET /
 HTTP  10.05.2026 23:36:23 ::1 Returned 304 in 2 ms
 HTTP  10.05.2026 23:36:23 ::1 GET /index.css
 HTTP  10.05.2026 23:36:23 ::1 Returned 304 in 2 ms
 HTTP  10.05.2026 23:36:23 ::1 GET /translations.js
 HTTP  10.05.2026 23:36:23 ::1 GET /i18n.js
 HTTP  10.05.2026 23:36:23 ::1 GET /app.js
 HTTP  10.05.2026 23:36:23 ::1 GET /account.js
 HTTP  10.05.2026 23:36:23 ::1 Returned 304 in 3 ms
 HTTP  10.05.2026 23:36:23 ::1 Returned 304 in 2 ms
 HTTP  10.05.2026 23:36:23 ::1 Returned 304 in 3 ms
 HTTP  10.05.2026 23:36:23 ::1 Returned 304 in 3 ms
 HTTP  10.05.2026 23:46:04 ::1 GET /
 HTTP  10.05.2026 23:46:04 ::1 Returned 200 in 1 ms
 HTTP  10.05.2026 23:46:04 ::1 GET /index.css
 HTTP  10.05.2026 23:46:04 ::1 Returned 200 in 1 ms
 HTTP  11.05.2026 00:08:19 ::1 GET /
 HTTP  11.05.2026 00:08:19 ::1 Returned 200 in 2 ms
 HTTP  11.05.2026 00:08:19 ::1 GET /index.css
 HTTP  11.05.2026 00:08:19 ::1 Returned 200 in 1 ms
 HTTP  11.05.2026 00:16:41 ::1 GET /
 HTTP  11.05.2026 00:16:41 ::1 Returned 200 in 2 ms
 HTTP  11.05.2026 00:16:41 ::1 GET /index.css
 HTTP  11.05.2026 00:16:41 ::1 Returned 200 in 1 ms
 HTTP  11.05.2026 00:27:10 ::1 GET /
 HTTP  11.05.2026 00:27:10 ::1 Returned 200 in 1 ms
 HTTP  11.05.2026 00:27:10 ::1 GET /index.css
 HTTP  11.05.2026 00:27:10 ::1 Returned 200 in 1 ms
 HTTP  11.05.2026 00:58:26 ::1 GET /
 HTTP  11.05.2026 00:58:26 ::1 Returned 200 in 2 ms
 HTTP  11.05.2026 01:29:38 ::1 GET /
 HTTP  11.05.2026 01:29:38 ::1 Returned 200 in 2 ms
 HTTP  11.05.2026 01:29:38 ::1 GET /index.css
 HTTP  11.05.2026 01:29:38 ::1 Returned 200 in 4 ms
 HTTP  11.05.2026 22:35:21 ::1 GET /
 HTTP  11.05.2026 22:35:21 ::1 Returned 200 in 19 ms
 HTTP  11.05.2026 22:35:21 ::1 GET /index.css
 HTTP  11.05.2026 22:35:21 ::1 Returned 200 in 2 ms
 HTTP  11.05.2026 22:36:37 ::1 GET /
 HTTP  11.05.2026 22:36:37 ::1 Returned 200 in 2 ms
 HTTP  11.05.2026 22:36:37 ::1 GET /index.css
 HTTP  11.05.2026 22:36:37 ::1 Returned 200 in 2 ms
 HTTP  11.05.2026 22:39:01 ::1 GET /
 HTTP  11.05.2026 22:39:01 ::1 Returned 200 in 4 ms
 HTTP  11.05.2026 22:39:01 ::1 GET /index.css
 HTTP  11.05.2026 22:39:01 ::1 Returned 200 in 2 ms
 HTTP  11.05.2026 22:40:09 ::1 GET /
 HTTP  11.05.2026 22:40:09 ::1 Returned 200 in 1 ms
 HTTP  11.05.2026 22:40:09 ::1 GET /index.css
 HTTP  11.05.2026 22:40:09 ::1 Returned 200 in 2 ms
 HTTP  11.05.2026 22:42:16 ::1 GET /
 HTTP  11.05.2026 22:42:16 ::1 Returned 200 in 2 ms
 HTTP  11.05.2026 22:42:16 ::1 GET /index.css
 HTTP  11.05.2026 22:42:16 ::1 Returned 200 in 2 ms
 HTTP  11.05.2026 22:43:56 ::1 GET /
 HTTP  11.05.2026 22:43:56 ::1 Returned 200 in 2 ms
 HTTP  11.05.2026 22:43:57 ::1 GET /index.css
 HTTP  11.05.2026 22:43:57 ::1 Returned 200 in 2 ms
